,Time,Unix Time,Trans_Id,Name,Acc Num,Merchant Name,Merchant Acc Name,Amount,Description,Lat,Long,Is_Safe
37,2024-01-13 09:00,1705116600,TID123480,Vimal,8765432109876543,Conference Registration,Biz Expo,150.0,Conference registration fee,47.6062,-122.3321,Yes
38,2024-01-15 13:45,1705306500,TID123494,Vimal,8765432109876543,Mobile Data Plan,Telecom Connect,30.0,Travel data plan,36.7783,-119.4179,Yes
39,2024-01-17 10:30,1705467600,TID123470,Vimal,8765432109876543,Travel Meals,Food Express,25.0,Meals during travel,32.7157,-117.1611,Yes
40,2024-01-19 14:00,1705653000,TID123475,Vimal,8765432109876543,Business Supplies,Market Link,60.0,Office supplies for travel,33.6846,-117.8265,Yes
41,2024-01-21 12:15,1705819500,TID123497,Vimal,8765432109876543,Coffee Shop,Caffeine Fix,10.5,Coffee during work,38.9072,-77.037,Yes
42,2024-01-23 16:00,1706005800,TID123496,Vimal,8765432109876543,Client Dinner Venue,Fine Dining,20.0,Dinner with clients,40.7128,-74.006,Yes
43,2023-01-05 14:00,1672907400,TID123460,Thomas,7654321098765432,Pharmacy,Health Haven,35.5,Medicine refill,38.8951,-77.0364,Yes
44,2023-04-09 11:30,1681020000,TID123503,Thomas,7654321098765432,Medical Services,Dr. Smith Clinic,80.0,Doctor consultation,38.8951,-77.0364,Yes
45,2023-07-13 09:45,1689221700,TID123500,Thomas,7654321098765432,Pharmacy,Wellness Pharmacy,20.0,Over-the-counter medicine,38.8951,-77.0364,Yes
46,2024-01-17 16:30,1705489200,TID123501,Thomas,7654321098765432,Health Supplies,Comfort Care,15.0,Healthcare products,38.8951,-77.0364,Yes
47,2024-07-21 12:15,1721544300,TID123487,Thomas,7654321098765432,Pharmacy,MediCorner,40.0,Prescription medication,38.8951,-77.0364,Yes
